Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,0.692929,0.667405,0.6706,0.667512,0.667366,0.668832,0.670349,0.667956,0.667764,0.667856,0.667366,0.692929,0.667906,0.6708569,0.00784487648
2,0.0377905,0.0375846,0.0377696,0.037666,0.0376875,0.0376826,0.0377503,0.038376,0.0392696,0.0377799,0.0375846,0.0392696,0.03775995,0.03793566,0.0005166284377
3,0.893208,0.874231,0.862873,0.862643,0.862085,0.861789,0.868993,0.870623,0.864635,0.860867,0.860867,0.893208,0.863754,0.8681947,0.009846070621
4,0.703378,0.705581,0.701084,0.706832,0.693494,0.70271,0.707324,0.695445,0.708153,0.704908,0.693494,0.708153,0.704143,0.7028909,0.004960485045
5,0.788722,0.803925,0.799701,0.787098,0.814036,0.805099,0.809477,0.800963,0.799989,0.781956,0.781956,0.814036,0.800476,0.7990966,0.01022157115
6,0.161469,0.15788,0.158117,0.165178,0.157754,0.157658,0.15777,0.157863,0.163115,0.157891,0.157658,0.165178,0.1578855,0.1594695,0.002757125848
7,0.657714,0.668617,0.65447,0.65879,0.654794,0.662127,0.650435,0.6636,0.657551,0.656624,0.650435,0.668617,0.6576325,0.6584722,0.00518172562
8,0.409979,0.409396,0.411619,0.408323,0.40855,0.407225,0.40902,0.408742,0.40704,0.408857,0.40704,0.411619,0.4087995,0.4088751,0.001314825079
9,1.79454,1.79768,1.78293,1.80864,1.79166,1.80664,1.77948,1.80038,1.80971,1.79962,1.77948,1.80971,1.79865,1.797128,0.01026338238
10,0.72421,0.728686,0.736112,0.730706,0.733192,0.722277,0.731165,0.724031,0.726713,0.727198,0.722277,0.736112,0.727942,0.728429,0.004395712785
11,0.102165,0.108189,0.108045,0.108237,0.108123,0.11063,0.108128,0.108268,0.108142,0.113006,0.102165,0.113006,0.1081655,0.1082933,0.00269529071
12,0.388572,0.393682,0.391089,0.390025,0.390216,0.391194,0.395316,0.389454,0.393683,0.390626,0.388572,0.395316,0.3908575,0.3913857,0.002149104157
13,1.68001,1.67813,1.68852,1.67951,1.67777,1.67882,1.68047,1.67721,1.6803,1.67224,1.67224,1.68852,1.679165,1.679298,0.00402874891
14,0.240973,0.227057,0.225713,0.230484,0.225666,0.225806,0.228268,0.22762,0.227925,0.225655,0.225655,0.240973,0.2273385,0.2285167,0.004641609875
15,0.22261,0.218656,0.231149,0.22911,0.223749,0.220816,0.239934,0.23023,0.218761,0.230689,0.218656,0.239934,0.2264295,0.2265704,0.006804713484
16,0.63666,0.623182,0.632971,0.644951,0.627158,0.622706,0.622938,0.625267,0.627356,0.627713,0.622706,0.644951,0.627257,0.6290902,0.007154611905
17,0.443631,0.439979,0.439062,0.440596,0.442906,0.440115,0.440766,0.438042,0.4393,0.439801,0.438042,0.443631,0.440047,0.4404198,0.001701813529
18,3.12534,3.00007,2.97009,2.98633,2.97366,2.98752,2.9825,2.97395,2.9714,2.97535,2.97009,3.12534,2.978925,2.994621,0.04685941396
19,1.4025,1.40653,1.39946,1.42698,1.40285,1.41431,1.40032,1.40462,1.41167,1.41477,1.39946,1.42698,1.405575,1.408401,0.008563631693
20,0.309801,0.297366,0.296498,0.298492,0.307312,0.297365,0.296624,0.301632,0.30294,0.297497,0.296498,0.309801,0.2979945,0.3005527,0.004759304689
21,1.21167,1.20771,1.20787,1.21991,1.21832,1.21063,1.2067,1.20481,1.20996,1.22075,1.20481,1.22075,1.210295,1.211833,0.005775317307
22,0.225448,0.210881,0.221403,0.212066,0.231212,0.218853,0.212084,0.224343,0.212602,0.211232,0.210881,0.231212,0.2157275,0.2180124,0.007290828168
SUM,16.8533195,16.6624176,16.6271456,16.700079,16.6495605,16.6508046,16.6358113,16.633425,16.6479786,16.6228859,16.5079326,17.0192456,16.63272545,16.66834276,0.068617157
