Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,0.702505,0.608256,0.636399,0.610218,0.636292,0.608219,0.636976,0.60865,0.637614,0.608257,0.608219,0.702505,0.623255,0.6293386,0.02926297648
2,0.0390703,0.0392964,0.039057,0.0386375,0.0385979,0.0388091,0.0385978,0.0399586,0.0430971,0.03992,0.0385978,0.0430971,0.03906365,0.03950417,0.00135798097
3,1.0193,0.872341,0.870804,0.85868,0.861905,0.859842,0.853877,0.862235,0.856862,0.857604,0.853877,1.0193,0.8608735,0.877345,0.05022228041
4,0.694866,0.689896,0.697131,0.685607,0.689828,0.685478,0.686518,0.682436,0.692077,0.693715,0.682436,0.697131,0.689862,0.6897552,0.004727822539
5,0.738853,0.774837,0.763575,0.769471,0.782422,0.760115,0.793482,0.778568,0.747243,0.779138,0.738853,0.793482,0.772154,0.7687704,0.01666063835
6,0.161104,0.159532,0.164001,0.159631,0.161028,0.159925,0.159904,0.159764,0.159838,0.161204,0.159532,0.164001,0.1599145,0.1605931,0.001360861937
7,0.691287,0.68628,0.682873,0.700718,0.681375,0.679347,0.700376,0.694093,0.676055,0.729277,0.676055,0.729277,0.6887835,0.6921681,0.01557631628
8,0.407261,0.40957,0.407472,0.414102,0.408682,0.40756,0.40895,0.408556,0.409325,0.408528,0.407261,0.414102,0.408619,0.4090006,0.001955532732
9,1.62958,1.63347,1.65173,1.63818,1.65529,1.6515,1.61968,1.63231,1.65169,1.65456,1.61968,1.65529,1.64484,1.641799,0.01267754309
10,0.723783,0.721146,0.722521,0.72175,0.726592,0.724136,0.720751,0.720938,0.724618,0.726646,0.720751,0.726646,0.723152,0.7232881,0.002221770438
11,0.104464,0.112219,0.111434,0.109195,0.109489,0.109488,0.109363,0.111469,0.109246,0.113568,0.104464,0.113568,0.1094885,0.1099935,0.00246444383
12,0.384793,0.380461,0.381829,0.381423,0.383914,0.382474,0.382842,0.38158,0.380731,0.383604,0.380461,0.384793,0.3821515,0.3823651,0.001420296248
13,1.67372,1.66669,1.6652,1.6598,1.65894,1.66638,1.66331,1.66028,1.65911,1.65864,1.65864,1.67372,1.661795,1.663207,0.004861757913
14,0.229105,0.228671,0.226953,0.226984,0.228253,0.227021,0.237774,0.226895,0.226953,0.228363,0.226895,0.237774,0.227637,0.2286972,0.003298844606
15,0.260393,0.26136,0.247707,0.246124,0.257117,0.256896,0.25176,0.247193,0.260556,0.251412,0.246124,0.26136,0.254328,0.2540518,0.005923406261
16,0.651407,0.650373,0.64803,0.661326,0.641409,0.669463,0.653714,0.641142,0.648898,0.645953,0.641142,0.669463,0.6496355,0.6511715,0.008711538036
17,0.44241,0.440847,0.438356,0.44331,0.439202,0.438871,0.439373,0.440659,0.441386,0.440869,0.438356,0.44331,0.440753,0.4405283,0.001591936211
18,3.8134,3.62822,3.63537,3.62375,3.63208,3.62815,3.64662,3.63608,3.63596,3.63409,3.62375,3.8134,3.63473,3.651372,0.05726371098
19,1.36919,1.36697,1.36877,1.37116,1.37615,1.36579,1.36445,1.3615,1.38203,1.37069,1.3615,1.38203,1.36898,1.36967,0.005919859233
20,0.295918,0.291909,0.305731,0.322226,0.300277,0.294246,0.294671,0.30995,0.294594,0.292684,0.291909,0.322226,0.2952945,0.3002206,0.0097286203
21,1.16725,1.16828,1.17267,1.16644,1.16628,1.1725,1.16587,1.18265,1.17235,1.17194,1.16587,1.18265,1.17011,1.170623,0.005086976946
22,0.237584,0.240722,0.235187,0.247953,0.225469,0.225276,0.239158,0.23316,0.237641,0.225493,0.225276,0.247953,0.2363855,0.2347643,0.007528513237
SUM,17.4372433,17.0313464,17.0728,17.0566855,17.0605919,17.0114861,17.0680168,17.0200666,17.0478741,17.076155,,,17.04180565,17.08822657,0.1246158031
