Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,1.52813,0.784877,0.785135,0.789374,0.798135,0.799901,0.791188,0.79034,0.793943,0.799912,0.784877,1.52813,0.7925655,0.8660935,0.2326808794
2,0.136122,0.0576807,0.0579719,0.0578531,0.056801,0.0576204,0.0575719,0.0592951,0.0579242,0.059649,0.056801,0.136122,0.05788865,0.06584893,0.02470555804
3,1.79955,1.51709,1.50792,1.50147,1.50462,1.52819,1.52237,1.53235,1.5356,1.50981,1.50147,1.79955,1.51973,1.545897,0.08990635116
4,1.43548,1.11396,1.09706,1.10069,1.11282,1.08328,1.08861,1.08155,1.10895,1.09936,1.08155,1.43548,1.100025,1.132176,0.1071823158
5,1.32828,1.1383,1.15397,1.14113,1.18893,1.15061,1.16692,1.16837,1.16082,1.16438,1.1383,1.32828,1.1626,1.176171,0.05540696997
6,0.20247,0.199873,0.201095,0.197933,0.201816,0.198053,0.202485,0.200596,0.204694,0.197792,0.197792,0.204694,0.2008455,0.2006807,0.002296930902
7,1.18412,1.1944,1.18152,1.18863,1.19348,1.19726,1.20088,1.21836,1.2159,1.24485,1.18152,1.24485,1.19583,1.20194,0.01934740924
8,0.947481,0.623027,0.618463,0.619148,0.623651,0.622925,0.624058,0.630054,0.628182,0.627149,0.618463,0.947481,0.6238545,0.6564138,0.1023359919
9,2.70251,2.66699,2.88631,2.85639,2.75931,2.76558,2.75064,2.77936,2.59676,2.67621,2.59676,2.88631,2.754975,2.744006,0.08743583135
10,1.60876,1.54018,1.46533,1.41279,1.41269,1.39635,1.39754,1.40664,1.42101,1.42318,1.39635,1.60876,1.4169,1.448447,0.07102024532
11,0.179398,0.165757,0.166204,0.168576,0.164391,0.166844,0.165299,0.166649,0.165139,0.164234,0.164234,0.179398,0.1659805,0.1672491,0.004456134759
12,1.16171,0.510783,0.506621,0.508505,0.515643,0.513923,0.50814,0.507466,0.505395,0.510564,0.505395,1.16171,0.5095345,0.574875,0.206217569
13,3.86291,3.36428,3.35449,3.30084,3.36666,3.38839,3.56235,3.56427,3.41039,3.42388,3.30084,3.86291,3.39939,3.459846,0.1656357197
14,0.402635,0.353297,0.364169,0.372324,0.368033,0.371643,0.374307,0.375873,0.377574,0.378937,0.353297,0.402635,0.3733155,0.3738792,0.01260422947
15,0.386784,0.342937,0.333872,0.341795,0.328787,0.323106,0.298309,0.316132,0.303293,0.351597,0.298309,0.386784,0.3313295,0.3326612,0.02560472384
16,1.43024,1.3684,1.38225,1.35361,1.35258,1.35723,1.36878,1.35926,1.35945,1.36205,1.35258,1.43024,1.36075,1.369385,0.02310411279
17,0.680168,0.601175,0.608408,0.61206,0.605217,0.609398,0.601588,0.59982,0.601348,0.606062,0.59982,0.680168,0.6056395,0.6125244,0.02411196002
18,8.18306,7.73209,7.89536,7.90468,7.85978,7.65136,7.64546,7.66571,7.68331,7.7193,7.64546,8.18306,7.725695,7.794011,0.1695590498
19,3.82376,2.3788,2.38094,2.3747,2.39983,2.38126,2.41389,2.45099,2.44679,2.51158,2.3747,3.82376,2.40686,2.556254,0.4474837992
20,0.596895,0.36338,0.362158,0.362303,0.364791,0.365018,0.369208,0.362952,0.361025,0.370935,0.361025,0.596895,0.3640855,0.3878665,0.07351301351
21,2.62585,1.98953,1.97349,1.96839,1.99362,2.03976,2.06037,2.0107,2.04214,2.02418,1.96839,2.62585,2.01744,2.072803,0.1967056708
22,0.401529,0.355245,0.354713,0.349643,0.35562,0.347315,0.351938,0.36705,0.35557,0.348007,0.347315,0.401529,0.354979,0.358663,0.0160653558
SUM,36.607842,30.3620517,30.6374499,30.4828341,30.527205,30.3150164,30.5219019,30.6137871,30.3352072,30.573618,29.825248,36.854596,30.44021315,31.09769133,1.939431877
