Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,0.648533,0.620198,0.629527,0.619705,0.626636,0.619652,0.626882,0.622466,0.627219,0.6198,0.619652,0.648533,0.624551,0.6260618,0.00873894537
2,0.0473113,0.0385885,0.0387345,0.0388729,0.0386491,0.0391455,0.0389698,0.0386125,0.038771,0.0386001,0.0385885,0.0473113,0.03875275,0.03962552,0.002706548894
3,0.947783,0.920803,0.936491,0.922107,0.926108,0.923406,0.917793,0.935238,0.907785,0.908598,0.907785,0.947783,0.9227565,0.9246112,0.01247882026
4,0.731944,0.715104,0.725053,0.717185,0.733935,0.715548,0.72519,0.71925,0.733962,0.716929,0.715104,0.733962,0.7221515,0.72341,0.00767157524
5,0.782789,0.825305,0.831857,0.794885,0.773095,0.812589,0.810374,0.774649,0.822122,0.828472,0.773095,0.831857,0.8114815,0.8056137,0.02259584434
6,0.164945,0.161734,0.16138,0.161377,0.161448,0.161808,0.161612,0.161836,0.161769,0.161708,0.161377,0.164945,0.161721,0.1619617,0.001062453874
7,0.689292,0.685569,0.679551,0.688307,0.687512,0.68123,0.684935,0.680565,0.679817,0.686053,0.679551,0.689292,0.685252,0.6842831,0.003687851089
8,0.423563,0.414796,0.413691,0.413601,0.413275,0.412966,0.413098,0.413038,0.416472,0.413291,0.412966,0.423563,0.413446,0.4147791,0.003269668568
9,1.81952,1.76536,1.73441,1.70885,1.72494,1.71811,1.76873,1.75693,1.80101,1.78432,1.70885,1.81952,1.761145,1.758218,0.03674789693
10,0.752426,0.751262,0.7492,0.74364,0.752924,0.750725,0.737876,0.749122,0.760913,0.74939,0.737876,0.760913,0.7500575,0.7497478,0.006002175546
11,0.110263,0.113826,0.114146,0.114015,0.113954,0.113965,0.113788,0.113624,0.117332,0.113548,0.110263,0.117332,0.11389,0.1138461,0.001675852118
12,0.39467,0.3913,0.390198,0.390203,0.390301,0.390193,0.391805,0.392174,0.390882,0.390277,0.390193,0.39467,0.3905915,0.3912003,0.001419660214
13,1.89365,1.84241,1.83956,1.83105,1.85261,1.83509,1.83573,1.84731,1.83509,1.8363,1.83105,1.89365,1.83793,1.84488,0.01831474816
14,0.236283,0.235095,0.235035,0.235132,0.235153,0.237719,0.236289,0.235076,0.235054,0.235118,0.235035,0.237719,0.235125,0.2355954,0.0008962426755
15,0.268913,0.262404,0.262535,0.264226,0.265611,0.265654,0.265377,0.274951,0.263907,0.264989,0.262404,0.274951,0.265183,0.2658567,0.003690032732
16,0.688563,0.692934,0.696597,0.697113,0.687488,0.688784,0.684826,0.687108,0.685562,0.695332,0.684826,0.697113,0.6886735,0.6904307,0.004642584124
17,0.438746,0.436826,0.44044,0.436823,0.437051,0.436763,0.437152,0.436798,0.436785,0.439908,0.436763,0.44044,0.4369385,0.4377292,0.001424069349
18,3.56203,3.2123,3.20895,3.20845,3.20112,3.20677,3.21529,3.20085,3.21574,3.2076,3.20085,3.56203,3.2087,3.24391,0.1118901924
19,1.4477,1.43581,1.44234,1.44007,1.45492,1.43816,1.44357,1.43756,1.44505,1.44159,1.43581,1.45492,1.441965,1.442677,0.005611341788
20,0.302081,0.297102,0.299499,0.297985,0.297419,0.297416,0.305984,0.299139,0.298014,0.298856,0.297102,0.305984,0.298435,0.2993495,0.002747722582
21,1.21484,1.21389,1.21209,1.21915,1.21641,1.22335,1.21934,1.21562,1.21789,1.21614,1.21209,1.22335,1.216275,1.216872,0.003205667897
22,0.232538,0.227744,0.241221,0.229901,0.230286,0.230457,0.229461,0.227887,0.229334,0.230176,0.227744,0.241221,0.2300385,0.2309005,0.003871018908
SUM,17.7983833,17.2603605,17.2825055,17.1726479,17.2208451,17.1995005,17.2640718,17.2198035,17.32048,17.2769951,17.0789745,17.9110593,17.25505975,17.30155932,0.1799673185
