Query,,,,,,,,,,,min,max,median,avg,stddev
1,0.657529,0.654268,0.653038,0.656754,0.654239,0.654495,0.653539,0.654526,0.655046,0.654257,0.653038,0.657529,0.6543815,0.6547691,0.001377275285
2,0.0427818,0.0411484,0.0411963,0.0424731,0.0411525,0.0411698,0.0412792,0.0412031,0.0422676,0.0412666,0.0411484,0.0427818,0.04123485,0.04159384,0.0006436102603
3,1.07793,1.01294,1.00807,1.01066,1.01107,1.00951,1.00276,1.00985,1.02368,1.01874,1.00276,1.07793,1.010865,1.018521,0.02165017241
4,0.786548,0.786629,0.791515,0.790357,0.796583,0.793387,0.79318,0.79052,0.784784,0.787847,0.784784,0.796583,0.7904385,0.790135,0.003690120323
5,0.946648,0.934053,0.950163,0.933124,0.940633,0.952494,0.956507,0.941098,0.933526,0.938583,0.933124,0.956507,0.9408655,0.9426829,0.008381574215
6,0.170072,0.172258,0.168024,0.167462,0.168549,0.170189,0.167656,0.170761,0.16828,0.168117,0.167462,0.172258,0.1684145,0.1691368,0.001588755404
7,0.796652,0.795684,0.866249,0.795408,0.786017,0.796057,0.788122,0.800882,0.784927,0.794799,0.784927,0.866249,0.795546,0.8004797,0.02367543119
8,0.463433,0.460895,0.462634,0.46369,0.463454,0.459954,0.463688,0.461663,0.464064,0.461371,0.459954,0.464064,0.4630335,0.4624846,0.001418257162
9,2.13216,2.14112,2.11965,2.13652,2.12175,2.12895,2.13644,2.12983,2.14221,2.13512,2.11965,2.14221,2.13364,2.132375,0.007509347138
10,0.888311,0.897991,0.899292,0.899285,0.897564,0.891794,0.896446,0.895957,0.895353,0.892402,0.888311,0.899292,0.8962015,0.8954395,0.003578845228
11,0.129451,0.12892,0.128637,0.128154,0.127744,0.12631,0.12982,0.126129,0.128556,0.127636,0.126129,0.12982,0.128355,0.1281357,0.001218990935
12,0.407571,0.407348,0.40589,0.408998,0.406095,0.405488,0.406079,0.404904,0.406903,0.408884,0.404904,0.408998,0.406499,0.406816,0.001383962909
13,2.87494,2.87316,2.88301,2.84318,2.64009,2.63686,2.63561,2.63226,2.63905,2.63181,2.63181,2.88301,2.63957,2.728997,0.1205767287
14,0.292789,0.288922,0.281088,0.287028,0.283427,0.284491,0.283153,0.284021,0.284971,0.283787,0.281088,0.292789,0.284256,0.2853677,0.003377878527
15,0.331882,0.309803,0.318512,0.316111,0.315101,0.311148,0.333086,0.30789,0.319811,0.310063,0.30789,0.333086,0.315606,0.3173407,0.008887030026
16,0.909958,0.91806,0.899586,0.894035,0.918329,0.889523,0.912256,0.906825,0.921629,0.913939,0.889523,0.921629,0.911107,0.908414,0.01084098867
17,0.446464,0.447411,0.44903,0.446105,0.447377,0.445203,0.449347,0.446046,0.447711,0.445857,0.445203,0.449347,0.4469205,0.4470551,0.001372330334
18,5.28827,5.26991,5.27957,5.26407,5.29389,5.27922,5.25555,5.27924,5.29845,5.298,5.25555,5.29845,5.279405,5.280617,0.01444017163
19,1.78974,1.7974,1.77954,1.79499,1.78963,1.79353,1.7763,1.77624,1.78274,1.78146,1.77624,1.7974,1.786185,1.786157,0.007864953274
20,0.324852,0.330457,0.3323,0.324175,0.333053,0.324714,0.330707,0.327082,0.327436,0.330405,0.324175,0.333053,0.3289205,0.3285181,0.003282722463
21,1.33966,1.3529,1.34171,1.34874,1.34795,1.33775,1.35169,1.36057,1.35691,1.36125,1.33775,1.36125,1.350215,1.349913,0.008358084642
22,0.3291,0.341537,0.340858,0.327804,0.345039,0.332352,0.332278,0.350781,0.332451,0.334349,0.327804,0.350781,0.3334,0.3366549,0.007508645986
,22.4267418,22.3628144,22.3995623,22.2791231,22.1287365,22.0645888,22.0954932,22.0982781,22.1407556,22.1199426,21.9432244,22.6350168,22.10505985,22.21160364,0.1403417601
