Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,0.350935,0.343861,0.343988,0.346815,0.342019,0.343455,0.344891,0.343899,0.342663,0.343116,0.342019,0.350935,0.34388,0.3445642,0.00259163594
2,0.0283382,0.0273876,0.0273381,0.0272457,0.0277639,0.027965,0.0279562,0.0272461,0.027349,0.0272797,0.0272457,0.0283382,0.0273683,0.02758695,0.0003887694297
3,0.736934,0.670407,0.652102,0.652697,0.667774,0.655611,0.656627,0.669198,0.660099,0.669616,0.652102,0.736934,0.6639365,0.6691065,0.02490366056
4,0.419461,0.417002,0.413337,0.416789,0.418993,0.418702,0.414309,0.411031,0.412934,0.411872,0.411031,0.419461,0.415549,0.415443,0.003124173846
5,0.495653,0.488894,0.497533,0.493974,0.493434,0.492726,0.49338,0.49134,0.501502,0.489895,0.488894,0.501502,0.493407,0.4938331,0.003704986353
6,0.0905322,0.0909371,0.0910295,0.0909552,0.0897629,0.0919136,0.0895674,0.090206,0.0901224,0.0896312,0.0895674,0.0919136,0.0903691,0.09046575,0.0007500440909
7,0.451141,0.424742,0.441334,0.437929,0.42981,0.447443,0.435633,0.428508,0.436528,0.444408,0.424742,0.451141,0.4372285,0.4377476,0.008525258774
8,0.372934,0.363517,0.368709,0.362366,0.368656,0.362972,0.367613,0.362639,0.367563,0.362568,0.362366,0.372934,0.36554,0.3659537,0.003637942766
9,1.2843,1.28022,1.2828,1.28736,1.27294,1.30277,1.28317,1.29284,1.26827,1.27024,1.26827,1.30277,1.282985,1.282491,0.01051231389
10,0.476047,0.468715,0.47228,0.473508,0.477929,0.471774,0.472855,0.47081,0.47936,0.475234,0.468715,0.47936,0.4731815,0.4738512,0.00328687764
11,0.0558489,0.0520056,0.052649,0.0528429,0.0559487,0.0520768,0.0526018,0.0531056,0.0524189,0.0523454,0.0520056,0.0559487,0.0526254,0.05318436,0.001468032727
12,0.216366,0.215344,0.215807,0.215042,0.21491,0.215779,0.214253,0.215829,0.218811,0.214378,0.214253,0.218811,0.2155615,0.2156519,0.001297791496
13,2.13626,2.17902,2.18055,2.17812,2.17966,2.18163,2.16504,2.16676,2.18017,2.18306,2.13626,2.18306,2.17934,2.173027,0.01431014329
14,0.156443,0.153265,0.153351,0.153088,0.15301,0.155385,0.151499,0.152629,0.152833,0.152316,0.151499,0.156443,0.153049,0.1533819,0.001459514946
15,0.212604,0.209303,0.20892,0.211797,0.212319,0.21179,0.210023,0.210278,0.214863,0.211729,0.20892,0.214863,0.2117595,0.2113626,0.001776179746
16,0.401658,0.404111,0.405005,0.404421,0.403108,0.402982,0.402461,0.406101,0.400539,0.40311,0.400539,0.406101,0.403109,0.4033496,0.001627529839
17,0.26746,0.265622,0.266352,0.268976,0.264198,0.264448,0.268432,0.264537,0.265307,0.264163,0.264163,0.268976,0.2654645,0.2659495,0.001788704699
18,1.52215,1.35316,1.3134,1.31065,1.31215,1.34927,1.45201,1.44786,1.43826,1.40534,1.31065,1.52215,1.37925,1.390425,0.0733787001
19,0.892328,0.894749,0.888015,0.891337,0.887569,0.886753,0.886733,0.889105,0.890892,0.887735,0.886733,0.894749,0.88856,0.8895216,0.002692885408
20,0.146745,0.14165,0.143776,0.143961,0.141934,0.141836,0.141988,0.144199,0.142076,0.142766,0.14165,0.146745,0.142421,0.1430931,0.00160374821
21,0.745804,0.7159,0.720813,0.717239,0.724143,0.713692,0.71367,0.722559,0.723247,0.718855,0.71367,0.745804,0.719834,0.7215922,0.009315555841
22,0.19852,0.19692,0.195662,0.195667,0.195614,0.19508,0.197296,0.19622,0.195602,0.19496,0.19496,0.19852,0.1956645,0.1961541,0.001112948082
SUM,11.6584623,11.3567323,11.3347506,11.3327798,11.3336455,11.3860534,11.4420084,11.4568997,11.4614093,11.4146173,11.2102547,11.7474595,11.4000833,11.41773586,0.09882069228
