Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,0.201843,0.181866,0.181705,0.181777,0.181841,0.181925,0.181727,0.181754,0.193627,0.181742,0.181705,0.201843,0.181809,0.1849807,0.006995818418
2,0.0171868,0.0171242,0.0169968,0.0170495,0.0169079,0.0171459,0.0169702,0.0170546,0.0170269,0.0170505,0.0169079,0.0171868,0.01705,0.01705133,0.00008389474954
3,0.329435,0.294093,0.291442,0.290393,0.291531,0.292184,0.292271,0.303517,0.293608,0.290387,0.290387,0.329435,0.2922275,0.2968861,0.01205574983
4,0.202345,0.202627,0.203663,0.204562,0.203591,0.202376,0.203869,0.202902,0.20295,0.203426,0.202345,0.204562,0.203188,0.2032311,0.0007149897357
5,0.260593,0.225165,0.228371,0.226852,0.226131,0.226793,0.225961,0.226703,0.226539,0.227935,0.225165,0.260593,0.226748,0.2301043,0.01075197202
6,0.0617272,0.0615482,0.0615243,0.0612511,0.0614388,0.061418,0.0617528,0.0613078,0.0613188,0.0615829,0.0612511,0.0617528,0.06148155,0.06148699,0.0001718578705
7,0.209171,0.197307,0.198302,0.19729,0.198714,0.19812,0.197718,0.197648,0.19885,0.19854,0.19729,0.209171,0.198211,0.199166,0.00355922835
8,0.115954,0.115699,0.115667,0.115451,0.115379,0.115701,0.115427,0.115301,0.115477,0.12261,0.115301,0.12261,0.115572,0.1162666,0.00223735589
9,0.561913,0.561776,0.561601,0.562933,0.565771,0.576834,0.563542,0.564897,0.565651,0.565477,0.561601,0.576834,0.5642195,0.5650395,0.004461682947
10,0.223331,0.213408,0.213179,0.213518,0.213344,0.214067,0.213298,0.213347,0.213256,0.213704,0.213179,0.223331,0.2133775,0.2144452,0.003132935251
11,0.0288326,0.028656,0.0284104,0.0284242,0.0283312,0.0285596,0.0282819,0.0283252,0.0284879,0.0283536,0.0282819,0.0288326,0.0284173,0.02846626,0.0001729149772
12,0.107991,0.108006,0.107864,0.108119,0.108066,0.120375,0.108778,0.107911,0.107944,0.107901,0.107864,0.120375,0.1079985,0.1092955,0.003901861301
13,0.911775,0.902766,0.911619,0.902333,0.902813,0.908901,0.903107,0.902224,0.902745,0.911819,0.902224,0.911819,0.90296,0.9060102,0.004403086942
14,0.0668495,0.0630709,0.0624268,0.0624768,0.0624733,0.0624273,0.0624497,0.0624341,0.0624246,0.0624455,0.0624246,0.0668495,0.0624476,0.06294785,0.00138507135
15,0.10547,0.104883,0.105039,0.105721,0.105453,0.10535,0.105411,0.104955,0.104869,0.104926,0.104869,0.105721,0.1051945,0.1052077,0.0003065670309
16,0.182592,0.181933,0.194771,0.18119,0.181161,0.181752,0.181533,0.182897,0.182173,0.182849,0.181161,0.194771,0.182053,0.1832851,0.004084299571
17,0.138682,0.138171,0.138162,0.137906,0.138029,0.138086,0.137973,0.138116,0.13779,0.138003,0.13779,0.138682,0.1380575,0.1380918,0.000238444869
18,0.721097,0.67253,0.62774,0.618286,0.63713,0.611748,0.612229,0.611931,0.611615,0.625147,0.611615,0.721097,0.6217165,0.6349453,0.0355794248
19,0.407827,0.410346,0.409635,0.410076,0.409956,0.409602,0.417385,0.40948,0.409666,0.409825,0.407827,0.417385,0.4097455,0.4103798,0.002552761285
20,0.0788723,0.078907,0.0790248,0.0788359,0.0788741,0.079015,0.0790449,0.0791166,0.0789556,0.0788614,0.0788359,0.0791166,0.0789313,0.07895076,0.00009494036959
21,0.350101,0.361352,0.349361,0.349593,0.349618,0.3501,0.349748,0.350743,0.348506,0.350954,0.348506,0.361352,0.349924,0.3510076,0.003700046943
22,0.0668949,0.0650254,0.0648797,0.0647414,0.0650068,0.0647616,0.0647126,0.0647994,0.0643345,0.0649642,0.0643345,0.0668949,0.06483955,0.06501205,0.0006908189186
SUM,5.3504833,5.1862597,5.1513838,5.1187789,5.1415601,5.1472414,5.1231891,5.1273637,5.1278143,5.1485031,5.1008649,5.4202142,5.1261693,5.16225774,0.06895004933
