Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,0.210377,0.183101,0.192451,0.176679,0.176246,0.176687,0.176162,0.180094,0.176558,0.17961,0.176162,0.210377,0.1781485,0.1827965,0.01091399549
2,0.0173522,0.0172028,0.0173171,0.0172923,0.0171876,0.0173517,0.0174021,0.0174087,0.0174222,0.0172792,0.0171876,0.0174222,0.0173344,0.01732159,0.00008217550933
3,0.365651,0.319793,0.317041,0.310513,0.304949,0.302365,0.306281,0.30725,0.307274,0.30404,0.302365,0.365651,0.307262,0.3145157,0.01881787566
4,0.204322,0.203855,0.203465,0.207241,0.203013,0.208699,0.212078,0.203573,0.2044,0.207988,0.203013,0.212078,0.204361,0.2058634,0.002995324994
5,0.242547,0.232284,0.227506,0.238206,0.242659,0.244592,0.230722,0.227234,0.227791,0.245075,0.227234,0.245075,0.235245,0.2358616,0.007498910161
6,0.0623016,0.0618897,0.062045,0.0619345,0.0666631,0.0620122,0.0619498,0.0621066,0.0620237,0.0619598,0.0618897,0.0666631,0.06201795,0.0624886,0.001471312947
7,0.210186,0.220988,0.209142,0.212367,0.209458,0.2077,0.205204,0.211627,0.208083,0.212052,0.205204,0.220988,0.209822,0.2106807,0.004237323187
8,0.116164,0.11876,0.115673,0.11614,0.116494,0.115834,0.115974,0.115872,0.118861,0.115717,0.115673,0.118861,0.116057,0.1165489,0.00121619511
9,0.558293,0.564105,0.551665,0.555508,0.547245,0.577111,0.545871,0.553504,0.548628,0.562327,0.545871,0.577111,0.554506,0.5564257,0.00950847151
10,0.21924,0.216552,0.21622,0.21961,0.216366,0.21862,0.216613,0.219944,0.21647,0.221804,0.21622,0.221804,0.2176165,0.2181439,0.001965149384
11,0.0300494,0.030033,0.029895,0.0299934,0.029694,0.0316068,0.0307558,0.0294452,0.0294361,0.0299146,0.0294361,0.0316068,0.029954,0.03008233,0.000652054098
12,0.109871,0.109749,0.109952,0.109772,0.110095,0.112979,0.109814,0.109985,0.109856,0.113711,0.109749,0.113711,0.1099115,0.1105784,0.001471922718
13,0.944245,0.938083,0.939944,0.939484,0.94111,0.937434,0.941362,0.939212,0.94226,0.943468,0.937434,0.944245,0.940527,0.9406602,0.002236881102
14,0.0656655,0.0636578,0.0636124,0.0636517,0.0636543,0.0637111,0.0637498,0.0637795,0.0636454,0.0636003,0.0636003,0.0656655,0.06365605,0.06387278,0.0006324890597
15,0.108889,0.113535,0.108857,0.108846,0.111806,0.112681,0.109061,0.108659,0.108981,0.108899,0.108659,0.113535,0.10894,0.1100214,0.001878063199
16,0.193253,0.187246,0.186958,0.190467,0.189503,0.189436,0.18745,0.196631,0.18861,0.192404,0.186958,0.196631,0.1894695,0.1901958,0.003091279555
17,0.139323,0.138575,0.138622,0.138547,0.140737,0.138497,0.138507,0.141309,0.138638,0.138526,0.138497,0.141309,0.1385985,0.1391281,0.001036520831
18,0.697574,0.63461,0.640391,0.633476,0.631261,0.628723,0.647917,0.633729,0.639201,0.635306,0.628723,0.697574,0.634958,0.6422188,0.02018117802
19,0.419454,0.417676,0.419576,0.423454,0.422112,0.421204,0.421215,0.417386,0.425665,0.425915,0.417386,0.425915,0.4212095,0.4213657,0.002989917318
20,0.0818926,0.081984,0.082276,0.0815666,0.0853391,0.082493,0.0818595,0.082724,0.0825257,0.0844274,0.0815666,0.0853391,0.0823845,0.08270879,0.001218248059
21,0.351083,0.355743,0.352647,0.355329,0.351154,0.352723,0.354958,0.350964,0.354606,0.360157,0.350964,0.360157,0.3536645,0.3539364,0.002852771136
22,0.0767461,0.0757037,0.0779879,0.0780097,0.0805036,0.0766329,0.0767582,0.0751621,0.0830455,0.076719,0.0751621,0.0830455,0.07675215,0.07772687,0.002378847753
SUM,5.4244794,5.285126,5.2632434,5.2680872,5.2572497,5.2790927,5.2516642,5.2475991,5.2539806,5.3008993,,,5.25239555,5.28314216,0.0523974817
