Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,0.253162,0.171072,0.17117,0.171059,0.175675,0.171199,0.171076,0.171198,0.17125,0.171165,0.171059,0.253162,0.171184,0.1798026,0.02581516366
2,0.197121,0.0350371,0.0307911,0.0280051,0.0260754,0.0245258,0.0231939,0.0221597,0.0211993,0.0204937,0.0204937,0.197121,0.0253006,0.04286021,0.05439213708
3,0.36534,0.342246,0.343048,0.348276,0.344275,0.342499,0.344441,0.342629,0.345446,0.343697,0.342246,0.36534,0.343986,0.3461897,0.006962600154
4,0.241375,0.237504,0.240257,0.239257,0.235157,0.236101,0.235246,0.235805,0.247414,0.238409,0.235157,0.247414,0.2379565,0.2386525,0.003755518081
5,0.286601,0.291498,0.286187,0.292018,0.286462,0.284805,0.285882,0.283548,0.284134,0.284853,0.283548,0.292018,0.2860345,0.2865988,0.002900577444
6,0.0633622,0.0627554,0.0628029,0.0627171,0.0626743,0.0626995,0.0628033,0.0627609,0.0627778,0.0627358,0.0626743,0.0633622,0.06275815,0.06280892,0.0001989411069
7,0.260015,0.257695,0.236903,0.259151,0.257421,0.261933,0.236768,0.260986,0.236603,0.261236,0.236603,0.261933,0.258423,0.2528711,0.01121173177
8,0.150001,0.138693,0.137988,0.138067,0.138965,0.138486,0.140933,0.138833,0.138687,0.137894,0.137894,0.150001,0.13869,0.1398547,0.003667526658
9,0.755271,0.689159,0.624164,0.610124,0.623769,0.60477,0.592744,0.605169,0.598686,0.588891,0.588891,0.755271,0.6076465,0.6292747,0.05266977547
10,0.232234,0.230194,0.229379,0.230842,0.231405,0.230523,0.228393,0.229632,0.230684,0.257058,0.228393,0.257058,0.2306035,0.2330344,0.008508922183
11,0.0331856,0.0326271,0.0329406,0.0326043,0.0325979,0.0325233,0.0321263,0.0321544,0.0322319,0.0323427,0.0321263,0.0331856,0.0325606,0.03253341,0.0003408951597
12,0.124323,0.117976,0.117842,0.118192,0.117926,0.117926,0.118036,0.118102,0.118195,0.118215,0.117842,0.124323,0.118069,0.1186733,0.001989313285
13,1.10455,1.11685,1.08356,1.09759,1.09341,1.07135,1.10633,1.08692,1.08138,1.09903,1.07135,1.11685,1.0955,1.094097,0.01356180834
14,0.104537,0.0745107,0.0745858,0.0743229,0.0742759,0.0816966,0.0744713,0.0743175,0.0743823,0.074376,0.0742759,0.104537,0.0744268,0.0781476,0.009551701323
15,0.121869,0.120108,0.120398,0.118612,0.118966,0.118446,0.12134,0.120355,0.122224,0.124059,0.118446,0.124059,0.1203765,0.1206377,0.001774840027
16,0.234322,0.235102,0.235999,0.237773,0.236345,0.236452,0.23617,0.227491,0.237842,0.23673,0.227491,0.237842,0.2362575,0.2354226,0.002983526705
17,0.162056,0.160796,0.162332,0.162034,0.160861,0.16092,0.160914,0.160859,0.160884,0.160796,0.160796,0.162332,0.160899,0.1612452,0.000624230335
18,0.890132,0.812871,0.78988,0.774443,0.774914,0.772941,0.76511,0.770433,0.770952,0.77089,0.76511,0.890132,0.773692,0.7892566,0.03805697943
19,0.49147,0.491287,0.491934,0.469639,0.45345,0.455055,0.453138,0.452946,0.4532,0.453635,0.452946,0.491934,0.454345,0.4665754,0.01795217042
20,0.0818174,0.0819544,0.0820072,0.0818049,0.0814639,0.0815451,0.0817459,0.0813668,0.0816508,0.0815697,0.0813668,0.0820072,0.08169835,0.08169261,0.0002096549676
21,0.398526,0.41324,0.414388,0.416177,0.4194,0.417041,0.416027,0.420668,0.416458,0.416771,0.398526,0.420668,0.4163175,0.4148696,0.006128702476
22,0.0993142,0.0987773,0.0988858,0.0987081,0.0986856,0.0987659,0.0988934,0.0989048,0.0985839,0.0986653,0.0985839,0.0993142,0.0987716,0.09881843,0.000204430809
SUM,6.6505844,6.211953,6.0674424,6.0614164,6.044174,6.0022032,5.9857821,5.9972381,5.984865,6.0335122,/home/muehlbau/Downloads/TPCH10 - monet_2threads_bare.csv,,6.0254966,6.10391708,0.2033156006
