Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,0.445262,0.192082,0.192064,0.192468,0.193569,0.19025,0.192735,0.192015,0.196326,0.195496,0.19025,0.445262,0.1926015,0.2182267,0.07979172441
2,0.0661276,0.0248996,0.0258815,0.0252033,0.0246083,0.0253361,0.0253196,0.0248466,0.0249493,0.0247768,0.0246083,0.0661276,0.0250763,0.02919487,0.01298196633
3,0.451822,0.320915,0.371093,0.32498,0.302854,0.30887,0.304443,0.329552,0.300696,0.296388,0.296388,0.451822,0.3148925,0.3311613,0.04766634022
4,0.297874,0.209329,0.213699,0.208055,0.207884,0.202346,0.200635,0.210023,0.205327,0.209759,0.200635,0.297874,0.208692,0.2164931,0.02884982612
5,0.293402,0.238634,0.235959,0.237492,0.239294,0.235805,0.233223,0.237271,0.239025,0.237135,0.233223,0.293402,0.2373815,0.242724,0.01789688994
6,0.0449593,0.0444195,0.0442053,0.0435814,0.04347,0.0437398,0.0432656,0.043163,0.0430133,0.0435063,0.0430133,0.0449593,0.04354385,0.04373235,0.0006149144968
7,0.225612,0.22775,0.227852,0.22886,0.230704,0.229251,0.230928,0.229455,0.231076,0.228689,0.225612,0.231076,0.2290555,0.2290177,0.001688942407
8,0.222927,0.132472,0.132798,0.13524,0.13814,0.13436,0.136775,0.138498,0.141482,0.135176,0.132472,0.222927,0.1360075,0.1447868,0.02759296026
9,0.676391,0.65759,0.669068,0.662906,0.65985,0.670411,0.652967,0.640909,0.632155,0.630547,0.630547,0.676391,0.65872,0.6552794,0.01601204346
10,0.255759,0.236322,0.232776,0.230851,0.231947,0.232059,0.23672,0.231788,0.233564,0.2318,0.230851,0.255759,0.2324175,0.2353586,0.007431957514
11,0.0354133,0.0311598,0.0309198,0.0306778,0.0308711,0.0307324,0.0309761,0.0310509,0.0312303,0.0305596,0.0305596,0.0354133,0.03094795,0.03135911,0.001439975892
12,0.162732,0.103305,0.0972409,0.0960837,0.0938071,0.0971682,0.104482,0.0951985,0.0971974,0.0985671,0.0938071,0.162732,0.09721915,0.10457819,0.02070695065
13,1.37958,0.974492,0.962615,0.939864,0.927748,0.952513,0.956884,0.959786,0.943731,0.96313,0.927748,1.37958,0.958335,0.9960343,0.135427497
14,0.0743995,0.0669386,0.0694344,0.0677126,0.0675451,0.0682128,0.0678601,0.0689432,0.0685248,0.0679786,0.0669386,0.0743995,0.0680957,0.06875497,0.002107071808
15,0.114051,0.108442,0.111225,0.108859,0.110903,0.106509,0.10624,0.108352,0.108408,0.110811,0.10624,0.114051,0.1086505,0.10938,0.002376847819
16,0.214059,0.207319,0.212131,0.207585,0.231631,0.217766,0.215409,0.206313,0.216361,0.212713,0.206313,0.231631,0.213386,0.2141287,0.007321656219
17,0.165448,0.161659,0.161711,0.16055,0.155949,0.159866,0.158955,0.159979,0.157857,0.159133,0.155949,0.165448,0.1599225,0.1601107,0.002547452368
18,0.781828,0.723115,0.705877,0.702231,0.681219,0.670926,0.689177,0.718891,0.632594,0.633291,0.632594,0.781828,0.695704,0.6939149,0.04417773074
19,0.634274,0.39972,0.402738,0.422405,0.430825,0.417487,0.419786,0.408275,0.420707,0.41617,0.39972,0.634274,0.4186365,0.4372387,0.06986721082
20,0.0817882,0.0834362,0.0795183,0.0842167,0.0803797,0.0788447,0.0774646,0.0784954,0.0782915,0.0790435,0.0774646,0.0842167,0.0792809,0.08014788,0.002280445071
21,0.50007,0.393009,0.376072,0.386008,0.391188,0.381248,0.395051,0.376072,0.387083,0.375863,0.375863,0.50007,0.3865455,0.3961664,0.03720814372
22,0.112637,0.103506,0.104699,0.105513,0.104613,0.105072,0.106484,0.108891,0.105525,0.105398,0.103506,0.112637,0.1054555,0.1062338,0.002658697877
SUM,7.2364159,5.6405147,5.6595772,5.6013425,5.5789993,5.558773,5.58578,5.5977676,5.4951236,5.4859309,5.3843025,7.2618804,5.60056735,5.74402247,0.5272553325
