Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,17578.049,10314.025,11922.526,11729.504,11736.497,10370.698,11807.537,10943.211,11929.93,10794.106,10314.025,17578.049,11733.0005,11912.6083,2089.575543
2,301.903,274.111,241.008,242.437,260.155,242.77,243.526,243.709,243.928,243.893,241.008,301.903,243.801,253.744,19.95604146
3,2325.463,1784.109,1782.255,1781.14,1783.84,1895.322,1894.915,1778.358,1780.638,1776.932,1776.932,2325.463,1783.0475,1858.2972,170.8737415
4,1333.911,1311.496,1333.405,1315.9,1332.224,1316.91,1333.44,1315.866,1331.379,1315.804,1311.496,1333.911,1324.1445,1324.0335,9.448295722
5,1823.659,1802.222,1799.415,1807.939,1799.162,1904.747,2377.151,1878.484,1814.261,1813.169,1799.162,2377.151,1813.715,1882.0209,177.6282714
6,3324.395,418.543,401.766,413.1,434.558,412.679,397.042,407.747,404.892,420.267,397.042,3324.395,412.8895,703.4989,920.9504345
7,2682.482,2678.632,2683.213,2733.577,2877.092,2856.381,2869.27,2814.101,2750.376,2791.397,2678.632,2877.092,2770.8865,2773.6521,79.09592588
8,1473.844,1495.387,1519.537,1510.484,1498.583,1768.375,1547.036,1523.482,1452.13,1518.454,1452.13,1768.375,1514.469,1530.7312,87.671092
9,21005.442,19727.306,20737.892,22495.995,20703.504,24053.305,20858.838,20963.412,19277.904,24004.22,19277.904,24053.305,20911.125,21382.7818,1629.044074
10,1458.054,1485.302,1442.469,1436.055,1460.587,1449.233,1451.128,1471.088,1539.425,1449.26,1436.055,1539.425,1454.591,1464.2601,29.97183826
11,341.449,333.204,403.961,323.374,354.686,408.794,323.242,322.983,321.83,357.666,321.83,408.794,337.3265,349.1189,32.90578062
12,2138.46,787.708,805.7,808.48,815.478,814.332,817.682,794.453,806.819,792.02,787.708,2138.46,807.6495,938.1132,421.8842234
13,5663.916,5641.43,6031.41,5653.318,5659.418,5593.496,5631.637,5663.372,5600.274,5623.482,5593.496,6031.41,5647.374,5676.1753,127.3113088
14,373.417,356.897,353.823,350.536,355.523,353.312,359.364,351.429,354.135,355.913,350.536,373.417,354.829,356.4349,6.49793939
15,406.895,395.388,368.393,345.116,337.694,335.42,342.212,350.738,368.874,352.374,335.42,406.895,351.556,360.3104,24.45699029
16,2141.836,2120.606,2131.205,2098.273,2147.622,2142.578,2166.219,2089.187,2100.157,2120.583,2089.187,2166.219,2125.9055,2125.8266,24.69314445
17,2922.868,2865.872,2864.217,2872.071,2866.215,2868.87,2867.607,2863.434,2871.721,2879.883,2863.434,2922.868,2868.2385,2874.2758,17.73900518
18,1250.453,1320.507,1242.19,1238.92,1241.372,1238.349,1237.457,1239.355,1240.797,1244.215,1237.457,1320.507,1241.0845,1249.3615,25.27651617
19,4034.309,3798.813,3912.301,3854.073,3873.682,3888.527,3794.321,3888.685,3902.071,3794.15,3794.15,4034.309,3881.1045,3874.0932,72.3844337
20,808.944,763.986,860.461,763.279,851.228,763.677,765.64,849.06,779.925,762.426,762.426,860.461,772.7825,796.8626,41.6713431
21,4760.453,4772.977,4765.709,4773.336,4854.886,4773.197,4751.244,5067.635,4757.196,4754.029,4751.244,5067.635,4769.343,4803.0662,97.62118583
22,1280.551,1069.027,1070.998,1065.632,1072.408,1152.06,1063.277,1061.615,1077.343,1058.451,1058.451,1280.551,1070.0125,1097.1362,69.94558228
SUM,79430.753,65517.548,68673.854,69612.539,68316.414,70603.032,68899.785,67881.404,66706.005,70222.694,64629.725,84490.595,68188.8755,69586.4028,3786.330208
