Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,23838.764,18014.961,18062.413,18200.121,18043.674,20937.345,19123.056,16996.23,18021.172,20927.618,16996.23,23838.764,18131.267,19216.5354,2076.478224
2,390.805,321.326,315.882,313.338,312.385,314.701,313.826,312.984,312.296,313.161,312.296,390.805,313.582,322.0704,24.29703823
3,3314.78,2455.649,2464.86,2415.079,2418.383,2427.737,2472.237,2438.175,2525.198,2611.074,2415.079,3314.78,2460.2545,2554.3172,273.7040244
4,2104.635,1853.647,1893.418,1847.566,1809.08,2417.111,1824.445,1764.007,1769.469,1781.498,1764.007,2417.111,1836.0055,1906.4876,204.7626795
5,2757.762,2471.629,2521.342,2527.678,2516.896,2483.615,2510.037,2548.218,2602.945,2567.482,2471.629,2757.762,2524.51,2550.7604,82.21427703
6,4650.412,560.351,552.417,562.247,579.147,560.695,558.106,563.932,568.761,571.292,552.417,4650.412,563.0895,972.736,1292.225185
7,3806.973,3699.997,3700.989,3703.265,3724.748,3695.664,3694.172,3687.981,3738.604,3765.394,3687.981,3806.973,3702.127,3721.7787,38.42463582
8,2071.174,1953.458,1923.234,1952.313,1959.308,1912.552,1912.976,1930.487,1921.797,1968.767,1912.552,2071.174,1941.4,1950.6066,46.90572097
9,39464.718,35444.364,33514.63,39328.003,33414.109,35648.777,33592.197,38368.535,33106.724,35785.099,33106.724,39464.718,35546.5705,35766.7156,2486.77269
10,1916.3,1898.062,1874.413,1875.296,1949.413,1951.147,2000.267,2070.468,2058.693,1929.013,1874.413,2070.468,1939.213,1952.3072,70.21371283
11,475.6,422.331,426.689,428.136,437.16,428.917,435.787,429.467,429.426,430.108,422.331,475.6,429.4465,434.3621,15.08820253
12,3153.575,1080.79,1069.511,1068.109,1072.842,1070.097,1066.8,1059.795,1054.272,1064.986,1054.272,3153.575,1068.81,1276.0777,659.7238323
13,8762.654,8327.936,8544.013,8364.765,8469.084,8317.764,8191.077,8229.43,8423.628,8638.323,8191.077,8762.654,8394.1965,8426.8674,180.4649118
14,546.741,453.989,460.474,464.333,472.379,460.403,462.414,459.292,455.042,465.545,453.989,546.741,461.444,470.0612,27.45079398
15,588.937,483.057,480.479,508.802,502.374,484.364,488.521,477.561,501.123,498.892,477.561,588.937,493.7065,501.411,32.52926201
16,2872.323,2947.963,2958.266,3077.296,2982.039,2859.438,3001.882,2942.781,2934.173,2950.382,2859.438,3077.296,2949.1725,2952.6543,61.88024284
17,4784.484,3744.055,3873.755,3783.128,3867.78,4784.822,3791.779,4388.656,3807.753,3856.511,3744.055,4784.822,3862.1455,4068.2723,419.347159
18,2069.241,1648.732,1653.052,1642.445,1660.447,1643.619,1645.621,1642.21,1647.585,1652.557,1642.21,2069.241,1648.1585,1690.5509,133.1788058
19,4905.515,4711.939,4738.758,4837.729,4838.758,4818.725,4883.423,4911.818,4864.899,4777.897,4711.939,4911.818,4838.2435,4828.9461,68.06805496
20,1349.148,1030.95,1023.948,1026.517,1028.855,1039.209,1037.545,1015.933,1029.603,1027.734,1015.933,1349.148,1029.229,1060.9442,101.4757157
21,7001.45,6464.556,6470.126,6489.255,6615.779,6486.105,6546.986,6478.093,6489.78,6534.23,6464.556,7001.45,6489.5175,6557.636,162.6375642
22,1589.611,1454.616,1429.659,1426.1,1419.726,1452.76,1427.013,1425.963,1424.422,1428.407,1419.726,1589.611,1427.71,1447.8277,51.20885354
SUM,122415.602,101444.358,99952.328,105841.521,100094.366,106195.567,100980.167,104142.016,99687.365,105545.97,,,102049.799,104629.926,6763.261695
