Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,11147.504,12651.415,11182.163,13045.353,11700.329,12701.706,11820.823,13007.128,10524.428,12785.334,10524.428,13045.353,12236.119,12056.6183,900.8219894
2,306.893,322.818,247.525,247.644,246.935,245.236,249.458,246.322,245.358,254.26,245.236,322.818,247.5845,261.2449,28.62027313
3,1784.543,1700.092,1716.756,1781.579,1792.117,1695.518,1710.703,1710.697,1704.395,1797.754,1695.518,1797.754,1713.7295,1739.4154,43.27875677
4,1393.99,1266.681,1338.271,1355.973,1269.885,1270.368,1274.682,1273.594,1271.347,1278.571,1266.681,1393.99,1274.138,1299.3362,45.8753853
5,1865.402,1842.324,1844.016,1855.726,1847.902,1938.816,1847.413,1849.088,2088.19,1893.021,1842.324,2088.19,1852.407,1887.1898,76.75315121
6,467.783,407.544,404.47,407.522,404.513,404.247,404.54,405.396,404.391,405.087,404.247,467.783,404.8135,411.5493,19.79740765
7,2697.216,2625.644,2609.772,2712.711,2684.535,2607.637,2613.222,2605.684,2921.569,2713.662,2605.684,2921.569,2655.0895,2679.1652,96.59412745
8,1442.25,1495.75,1416.405,1416.785,1418.074,1490.367,1415.697,1412.13,1419.903,1412.142,1412.13,1495.75,1417.4295,1433.9503,32.33111847
9,23758.065,22362.079,23205.68,22363.944,22389.937,22374.871,22379.983,22422.24,22554.776,22921.131,22362.079,23758.065,22406.0885,22673.2706,476.8638046
10,1496.302,1485.225,1475.617,1491.864,1446.838,1402.545,1403.533,1408.516,1408.188,1403.713,1402.545,1496.302,1427.677,1442.2341,41.12746894
11,336.768,334.589,326.103,326.697,326.442,412.513,367.326,327.46,410.122,408.857,326.103,412.513,335.6785,357.6877,38.42101796
12,807.526,856.429,775.78,847.862,847.985,863.018,855.12,861.651,829.861,779.422,775.78,863.018,847.9235,832.4654,33.34375228
13,6852.519,6680.052,6650.236,6666.604,6656.138,6576.354,6586.046,6730.999,6560.641,6591.769,6560.641,6852.519,6653.187,6655.1358,87.82387228
14,453.491,376.692,414.933,462.231,379.534,453.335,374.726,377.93,452.438,451.52,374.726,462.231,433.2265,419.683,38.61408854
15,434.903,361.291,395.799,386.354,414.194,435.645,394.734,403.1,411.157,435.191,361.291,435.645,407.1285,407.2368,24.1959974
16,2600.713,2477.547,2547.047,2473.626,2523.022,2489.063,2483.438,2436.578,2524.886,2448.591,2436.578,2600.713,2486.2505,2500.4511,49.17395133
17,2934.38,2913.377,3079.294,3031.115,2974.461,2974.509,2980.798,2989.307,2996.26,2982.481,2913.377,3079.294,2981.6395,2985.5982,46.06406574
18,1200.352,1295.127,1289.498,1203.483,1288.1,1273.201,1298.006,1208.324,1283.714,1288.201,1200.352,1298.006,1285.907,1262.8006,41.11508419
19,3868.335,3778.25,3859.961,3921.776,3791.157,3855.252,3790.47,3863.649,3903.801,3859.198,3778.25,3921.776,3859.5795,3849.1849,48.22165904
20,774.698,747.469,826.401,761.137,751.554,829.543,829.404,762.331,751.592,756.465,747.469,829.543,761.734,779.0594,34.9029427
21,4747.809,4818.025,4710.826,4690.232,4720.747,4734.317,5075.755,4764.853,4720.759,4758.373,4690.232,5075.755,4741.063,4774.1696,111.6846209
22,1286.263,1174.379,1185.88,1188.459,1183.993,1184.527,1275.621,1226.889,1191.672,1174.787,1174.379,1286.263,1187.1695,1207.247,41.56302108
SUM,1286.263,1174.379,1185.88,1188.459,1183.993,1184.527,1275.621,1226.889,1191.672,1174.787,1174.787,1174.787,71615.563,71914.6936,41.56302108
