Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,36452.219,37705.517,33461.081,41895.027,37692.175,44110.254,37197.19,41433.667,39612.176,39323.269,33461.081,44110.254,38514.393,38888.2575,3065.580222
2,369.605,364.222,356.379,356.41,440.743,355.53,358.729,363.106,436.135,360.169,355.53,440.743,361.6375,376.1028,33.15003232
3,3667.17,4494.194,8708.937,3604.434,4085.216,8537.423,5055.94,6461.018,8902.905,3477.705,3477.705,8902.905,4775.067,5699.4942,2257.853354
4,5694.093,3714.536,2754.752,2226.556,3127.721,2193.211,6482.2,2227.41,2219.614,3423.463,2193.211,6482.2,2941.2365,3406.3556,1525.850174
5,7154.086,3784.965,9055.919,7488.463,4553.202,8310.893,6874.567,7765.411,8016.498,3749.975,3749.975,9055.919,7321.2745,6675.3979,1934.330357
6,590.84,835.257,581.968,624.102,585.402,587.619,586.983,593.695,592.897,596.027,581.968,835.257,591.8685,617.479,77.40405537
7,4606.36,5219.655,4909.033,5241.929,4733.636,6728.979,8761.853,5182.807,4732.74,5150.789,4606.36,8761.853,5166.798,5526.7781,1283.852429
8,3337.114,9034.805,3143.725,4766.911,10674.1,3550.05,8773.657,3099.61,9526.989,8724.501,3099.61,10674.1,6745.706,6463.1462,3120.759039
9,40714.128,41707.376,47787.216,42124.635,45430.434,44017.388,44550.767,44779.32,44147.362,45182.085,40714.128,47787.216,44349.0645,44044.0711,2062.086972
10,3860.968,2381.159,3271.8,2423.17,2604.108,2414.518,2437.476,2364.213,2983.786,3155.12,2364.213,3860.968,2520.792,2789.6318,509.116172
11,401.821,482.366,409.902,462.71,406.943,496.518,405.839,487.628,479.779,413.883,401.821,496.518,438.2965,444.7389,40.05065179
12,1668.298,1609.608,2896.433,1677.74,1700.44,1783.376,1686.129,1590.03,1633.956,1685.125,1590.03,2896.433,1681.4325,1793.1135,391.3285853
13,14850.249,14269.364,10816.686,14737.22,14916.792,11382.985,13756.072,11545.192,13320.538,11382.787,10816.686,14916.792,13538.305,13097.7885,1647.184012
14,539.092,601.111,510.039,513.782,535.726,489.464,508.817,497.04,515.778,501.555,489.464,601.111,511.9105,521.2404,32.06939815
15,541.154,536.71,555.671,547.309,589.071,548.27,535.1,554.533,823.189,553.812,535.1,823.189,551.041,578.4819,87.30594122
16,3554.324,4160.645,4137.683,3657.234,3574.62,3618.56,4928.61,4759.153,4727.602,3740.593,3554.324,4928.61,3939.138,4085.9024,542.5104114
17,7438.531,4331.971,5232.237,4412.93,4350.447,8283.725,4417.41,4253.373,5094.558,4353.101,4253.373,8283.725,4415.17,5216.8283,1447.226764
18,12413.936,5202.136,4441.079,3549.785,3511.439,12445.114,5089.718,4364.228,3534.697,3567.986,3511.439,12445.114,4402.6535,5812.0118,3544.710601
19,5823.498,5076.312,5062.272,5143.773,5093.473,5051.349,5062.05,5095.617,4969.512,4880.416,4880.416,5823.498,5069.292,5125.8272,255.993207
20,2119.823,1574.043,1846.085,1576.996,1546.194,1540.098,1561.637,1585.24,1544.06,2022.373,1540.098,2119.823,1575.5195,1691.6549,220.5225282
21,12874.364,15291.623,17402.401,12984.389,18337.17,13654.069,17775.835,12862.856,16414.54,15036.089,12862.856,18337.17,15163.856,15263.3336,2133.522099
22,1491.817,1494.215,1485.315,1506.46,1817.59,1536.918,1510.194,1714.892,1561.222,1558.903,1485.315,1817.59,1523.556,1567.7526,110.6446732
SUM,170163.49,163871.79,168826.613,161521.965,170306.642,181636.311,178316.773,163580.039,175790.533,162839.726,1174.787,1174.787,166098.008,169685.3882,6996.252703
