Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,38612.039,30657.116,40722.707,37725.322,36567.362,36792.123,42658.51,42692.382,36468.962,41739.176,30657.116,42692.382,38168.6805,38463.5699,3699.688355
2,321.001,387.418,273.867,267.766,268.181,260.443,263.273,269.403,278.7,255.695,255.695,387.418,268.792,284.5747,40.42055492
3,2153.606,3400.89,4975.438,10468.451,2005.704,2051.487,4645.517,5876.553,2053.41,2097.643,2005.704,10468.451,2777.248,3972.8699,2701.302533
4,4178.044,1356.769,2914.684,1431.535,2842.573,1468.645,1464.153,1685.064,1358.118,1333.361,1333.361,4178.044,1466.399,2003.2946,974.8114726
5,8518,2112.551,5909.015,7012.653,2051.113,2029.167,8687.92,2115.941,4665.907,2182.969,2029.167,8687.92,3424.438,4528.5236,2805.856602
6,489.159,354.04,336.867,332.477,329.295,328.468,389.481,332.141,332.571,503.22,328.468,503.22,334.719,372.7719,67.68032829
7,5991.685,2887.408,5121.806,10376.367,2449.279,8351.335,2601.168,9894.343,2519.229,7781.372,2449.279,10376.367,5556.7455,5797.3992,3150.750445
8,1804.633,1746.214,10158.571,1774.59,1737.939,10096.908,1742.885,1761.243,9882.567,1727.674,1727.674,10158.571,1767.9165,4243.3224,4004.878195
9,33519.334,35208.097,34364.703,28350.4,30495.575,37419.402,34324.734,31745.879,35366.013,33486.31,28350.4,37419.402,33922.034,33428.0447,2619.581925
10,1438.691,2434.778,1508.519,1443.027,4594.88,2546.297,1514.441,1459.897,3522.422,1494.922,1438.691,4594.88,1511.48,2195.7874,1095.685432
11,245.407,241.628,828.184,247.561,239.869,240.635,242.717,240.087,236.191,342.998,236.191,828.184,242.1725,310.5277,184.6735301
12,1094.94,1083.891,3878.096,1116.054,3793.507,1163.674,4014.87,1155.935,1240.729,1427.93,1083.891,4014.87,1202.2015,1996.9626,1314.826312
13,10998.408,9634.21,9634.423,10379.743,11047.974,10393.913,8883.714,9505.534,9732.798,10212.427,8883.714,11047.974,9972.6125,10042.3144,687.27297
14,297.699,316.87,309.375,323.141,324.477,301.763,573.155,311.737,313.892,310.217,297.699,573.155,312.8145,338.2326,82.96383993
15,806.481,544.859,520.85,529.508,544.646,796.584,554.294,549.943,544.865,510.147,510.147,806.481,544.862,590.2177,112.2345509
16,3713.319,4301.635,3872.605,3888.44,3868.492,3715.07,3828.251,4010.428,3892.954,3927.085,3713.319,4301.635,3880.5225,3901.8279,166.7761443
17,3027.388,5179.418,3070.274,10769.66,3035.744,10970.276,6649.842,3064.48,10003.283,3093.304,3027.388,10970.276,4136.361,5886.3669,3459.588751
18,5040.568,5282.399,9288.971,5349.944,4095.788,3248.124,12743.994,3128.369,12716.949,4899.523,3128.369,12743.994,5161.4835,6579.4629,3660.185325
19,3770.637,2955.724,3391.411,3641.99,2936.074,3631.188,4472.273,2979.167,2990.964,4024.878,2936.074,4472.273,3511.2995,3479.4306,525.317012
20,1052.816,1446.42,1749.632,1128.492,931.191,923.224,2747.231,1047.405,912.969,2105.26,912.969,2747.231,1090.654,1404.464,618.1957708
21,10034.528,7113.242,11423.426,9845.786,8089.858,10613.492,9385.272,11971.615,6861.319,11275.837,6861.319,11971.615,9940.157,9661.4375,1795.286773
22,1054.685,1000.361,981.354,960.836,1003.761,1339.535,1489.614,1653.708,1294.966,1181.494,960.836,1653.708,1118.0895,1196.0314,241.0366885
SUM,138163.068,119645.938,155234.778,147363.743,123253.282,148681.753,153877.309,137451.254,147189.778,135913.442,103127.471,195598.051,130311.6825,140677.4345,12122.93616
