Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,2554.296,2450.935,2788.106,2418.593,2376.074,2475.08,2489.015,2349.553,2410.027,2804.867,2349.553,2804.867,2463.0075,2511.6546,161.0389732
2,108.306,97.02,97,96.599,112.351,102.159,97.836,98.468,97.969,103.068,96.599,112.351,98.2185,101.0776,5.422182898
3,798.477,791.491,767.42,781.487,791.955,807.066,753.975,806.43,813.992,757.865,753.975,813.992,791.723,787.0158,21.18292257
4,416.61,422.628,395.389,458.75,407.07,418.853,418.046,447.76,425.198,461.619,395.389,461.619,420.7405,427.1923,21.88471588
5,695.971,636.363,560.753,608.64,585.635,606.686,551.258,629.62,604.06,621.718,551.258,695.971,607.663,610.0704,40.99577968
6,107.382,106.691,108.467,107.593,107.114,108.174,107.765,106.889,109.114,106.946,106.691,109.114,107.4875,107.6135,0.7776067629
7,669.001,665.609,681.778,664.326,668.927,662.603,662.658,662.878,657.57,669.622,657.57,681.778,664.9675,666.4972,6.528918011
8,478.589,448.784,426.354,419.335,428.277,437.182,439.639,415.247,470.206,523.269,415.247,523.269,438.4105,448.6882,33.38165981
9,818.363,765.521,1216.471,787.484,768.937,746.95,731.135,744.791,752.566,734.199,731.135,1216.471,759.0435,806.6417,146.3781305
10,542.403,520.122,523.451,509.201,499.119,541.972,503.649,513.086,545.536,501.601,499.119,545.536,516.604,520.014,17.81069957
11,77.981,77.825,76.486,77.774,81.308,79.386,77.378,80.47,76.819,76.628,76.486,81.308,77.7995,78.2055,1.652632395
12,219.929,208.926,211.928,208.72,213.616,212.529,213.265,215.611,213.228,207.075,207.075,219.929,212.8785,212.4827,3.712539713
13,3637.874,3697.351,4597.668,3736.596,3723.943,3654.432,3735.801,3705.24,3673.531,3695.174,3637.874,4597.668,3701.2955,3785.761,287.1598565
14,100.334,86.308,101.249,99.518,84.233,97.329,89.672,101.868,85.63,85.634,84.233,101.868,93.5005,93.1775,7.473494471
15,307.199,298.087,301.167,302.054,304.144,288.907,300.209,299.645,304.323,293.256,288.907,307.199,300.688,299.8991,5.43170858
16,902.854,901.755,973.088,890.032,918.561,910.116,901.284,903.613,917.042,894.429,890.032,973.088,903.2335,911.2774,23.48440856
17,1254.038,1211.28,1225.182,1207.919,1224.261,1209.211,1212.06,1208.534,1221.769,1229.331,1207.919,1254.038,1216.9145,1220.3585,14.24160816
18,906.789,924.932,1070.781,910.158,912.318,941.712,916.053,903.009,925.603,892.215,892.215,1070.781,914.1855,930.357,51.20335533
19,750.469,735.033,726.843,747.59,748.086,731.051,752.926,733.451,735.789,726.787,726.787,752.926,735.411,738.8025,9.99110994
20,308.493,316.217,316.891,312.226,313.691,312.539,318.642,279.228,313.651,274.614,274.614,318.642,313.095,306.6192,15.93819297
21,1569.851,1588.191,1902.684,1478.588,1847.099,1498.214,1481.145,1693.106,1466.827,1454.407,1454.407,1902.684,1534.0325,1598.0112,163.473835
22,602.366,532.567,516.414,525.106,514.522,507.582,510.976,517.818,513.876,506.588,506.588,602.366,515.468,524.7815,28.36309159
SUM,17827.575,17483.636,19585.57,17348.289,17631.241,17349.733,17264.387,17416.315,17334.326,17620.912,16803.673,20147.465,17386.3675,17686.1984,689.4346955
