Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,2593.49,2377.122,2396.253,2449.783,2475.54,2502.351,2332.156,2470.876,2375.473,2419.157,2332.156,2593.49,2434.47,2439.2201,75.90111003
2,131.934,99.108,103.929,103.229,105.28,104.413,100.158,101.823,101.903,105.531,99.108,131.934,103.579,105.7308,9.445360105
3,772.697,747.21,772.8,884.25,813.185,750.938,815.093,761.471,773.37,768.927,747.21,884.25,772.7485,785.9941,41.33384791
4,441.44,448.113,450.195,493.367,422.577,442.581,414.642,421.542,456.338,463.888,414.642,493.367,445.347,445.4683,23.21963068
5,670.405,612.311,626.306,619.559,605.08,597.136,613.131,616.209,588.821,610.923,588.821,670.405,612.721,615.9881,21.96015876
6,108.575,108.401,111.42,107.891,108.076,108.701,107.65,109.285,108.603,108.419,107.65,111.42,108.497,108.7021,1.058318105
7,663.562,665.809,661.098,664.758,661.157,661.237,668.597,663.393,656.733,662.498,656.733,668.597,662.9455,662.8842,3.202314538
8,434.871,428.437,420.184,433.749,448.138,426.729,413.347,432.074,430.05,417.76,413.347,448.138,429.2435,428.5339,9.923118041
9,756.853,764.347,991.896,740.958,739.059,739.753,739.436,736.992,759.307,741.215,736.992,991.896,741.0865,770.9816,78.25546934
10,538.661,497.817,543.898,572.593,507.962,496.36,503.066,494.443,553.251,554.751,494.443,572.593,523.3115,526.2802,29.32574143
11,79.787,75.421,78.036,81.653,92.575,82.052,77.213,76.752,83.106,78.117,75.421,92.575,78.952,80.4712,4.93550794
12,214.387,210.205,222.467,212.776,219.155,226.268,212.317,215.288,215.069,213.272,210.205,226.268,214.728,216.1204,5.011332983
13,3641.272,3732.271,3657.635,3680.001,3718.998,3692.123,3693.904,3730.87,3711.379,3690.505,3641.272,3732.271,3693.0135,3694.8958,29.92090683
14,97.859,85.787,87.109,100.431,100.728,84.859,100.691,85.879,101.508,89.605,84.859,101.508,93.732,93.4456,7.32837237
15,302.737,303.467,306.777,310.53,302.682,304.311,306.737,286.821,294.227,312.075,286.821,312.075,303.889,303.0364,7.513741829
16,942.417,916.844,973.324,906.194,1179.624,922.445,916.836,927.575,903.254,992.79,903.254,1179.624,925.01,958.1303,83.04225336
17,1281.418,1218.121,1232.581,1220.085,1211.209,1221.485,1226.307,1241.198,1219.144,1213.825,1211.209,1281.418,1220.785,1228.5373,20.58213615
18,891.429,857.323,913.515,874.726,901.978,902.673,886.391,1685.038,909.479,922.701,857.323,1685.038,902.3255,974.5253,250.3912773
19,742.008,734.797,744.796,738.649,742.818,753.598,757.164,737.78,740.526,742.886,734.797,757.164,742.413,743.5022,6.946299875
20,298.319,313.961,344.984,302.042,315.921,300.244,315.643,303.436,319.244,273.176,273.176,344.984,308.6985,308.697,18.46616439
21,1501.888,1536.245,1855.609,1699.664,1825.573,1461.539,1473.973,1880.456,1681.75,1600.662,1461.539,1880.456,1641.206,1651.7359,161.0624465
22,508.311,453.968,451.118,445.109,573.259,450.926,448.425,569.762,449.202,471.281,445.109,573.259,452.543,482.1361,50.66926957
SUM,17614.32,17187.085,17945.93,17641.997,18070.574,17232.722,17122.877,18548.963,17431.737,17453.964,16776.087,19732.73,17411.245,17625.0169,449.6944421
