Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,5215.67,5118.754,6059.211,4756.861,4794.466,5012.679,4635.983,4601.712,5234.985,4790.636,4601.712,6059.211,4903.5725,5022.0957,430.6811532
2,211.304,143.267,142.024,145.448,146.94,143.759,142.017,142.636,142.949,143.157,142.017,211.304,143.212,150.3501,21.47204643
3,1028.995,910.965,873.013,889.45,899.65,913.382,891.959,777.31,728.47,858.578,728.47,1028.995,890.7045,877.1772,80.84673917
4,707.853,639.248,642.62,634.021,647.139,639.105,633.618,648.357,638.255,636.179,633.618,707.853,639.1765,646.6395,22.07653137
5,835.726,789.885,792.678,806.414,793.471,787.411,787.604,771.078,786.098,786.378,771.078,835.726,788.7445,793.6743,17.13782278
6,194.35,179.557,167.264,170.118,170.113,170.759,168.332,171.267,169.409,170.368,167.264,194.35,170.243,173.1537,8.149718469
7,1008.851,987.481,987.631,976.011,988.841,992.53,968.184,980.918,1005.278,989.371,968.184,1008.851,988.236,988.5096,12.20552975
8,666.389,630.49,621.808,623.875,613.297,629.021,626.492,625.308,614.703,823.471,613.297,823.471,625.9,647.4854,63.55306392
9,9504.299,9627.23,9298.452,9537.304,9539.618,9013.199,9647.33,8980.714,9461.32,11198.534,8980.714,11198.534,9520.8015,9580.8,615.4813391
10,773.486,756.737,743.115,769.459,762.244,750.59,740.778,740.241,751.641,745.099,740.241,773.486,751.1155,753.339,11.8734332
11,145.645,139.665,139.865,140.677,146.683,136.128,136.476,136.387,136.271,134.218,134.218,146.683,138.0705,139.2015,4.197128178
12,559.286,370.666,346.661,367.754,364.446,363.031,371.609,363.06,364.567,366.724,346.661,559.286,365.6455,383.7804,62.04909219
13,6483.741,6464.648,6318.724,6325.101,6585.979,6402.624,6385.37,6374.849,6685.212,6336.624,6318.724,6685.212,6393.997,6436.2872,120.6666871
14,361.833,205.679,180.621,196.778,180.52,178.917,187.569,189.704,183.753,175.507,175.507,361.833,185.661,204.0881,56.16379316
15,424.041,406.178,407.115,419.975,418.674,432.887,406.358,401.815,406.717,408.919,401.815,432.887,408.017,413.2679,10.02246141
16,2896.102,2899.271,2854.441,3110.421,2934.005,2851.319,3009.454,2908.751,2863.202,2900.649,2851.319,3110.421,2899.96,2922.7615,80.36371393
17,1480.205,1428.983,1446.501,1455.879,1756.001,1461.93,1492.819,1460.974,1431.877,1435.96,1428.983,1756.001,1458.4265,1485.1129,97.37105522
18,1377.826,1259.407,1265.334,1242.008,1264.142,1232.647,1247.323,1252.541,1257.469,1250.962,1232.647,1377.826,1255.005,1264.9659,40.90457337
19,1459.731,1429.183,1442.625,1434.271,1447.809,1425.819,1557.258,1428.055,1451.267,1427.298,1425.819,1557.258,1438.448,1450.3316,39.32923885
20,509.758,448.147,442.044,449.958,446.08,441.281,449.064,446.07,442.806,444.292,441.281,509.758,446.075,451.95,20.5257836
21,2348.732,2233.884,2277.898,2258.444,2291.873,2322.984,2252.344,2311.831,2119.093,2162.598,2119.093,2348.732,2268.171,2257.9681,71.4195415
22,761.229,745.337,734.072,718.278,773.975,773.269,738.478,736.694,726.164,714.803,714.803,773.975,737.586,742.2299,21.17942594
SUM,38955.052,37814.662,38183.717,37428.505,37965.966,37075.271,37476.419,36450.272,37601.506,38900.325,,,37416.7685,37785.1695,770.7694625
