Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,4770.152,3106.258,3438.075,3197.144,4488.49,4400.133,4058.586,3250.494,3444.688,3311.252,3106.258,4770.152,3441.3815,3746.5272,619.7156526
2,120.582,121.238,144.098,148.45,114.905,116.258,113.107,145.075,138.22,114.974,113.107,148.45,120.91,127.6907,14.42982462
3,1050.607,677.039,569.468,694.593,663.891,640.694,598.083,654.083,638.504,595.008,569.468,1050.607,647.3885,678.197,136.5805387
4,580.054,577.835,593.448,564.205,640.037,606.79,691.905,646.676,574.431,595.421,564.205,691.905,594.4345,607.0802,40.36091759
5,738.963,693.814,679.84,683.924,680.251,682.838,682.456,700.522,667.251,676.106,667.251,738.963,682.647,688.5965,19.87988688
6,3077.915,166.32,147.467,180.999,155.641,156.538,147.142,152.422,147.144,148.95,147.142,3077.915,154.0315,448.0538,924.1005914
7,961.484,1037.581,1005.867,1030.93,968.385,966.888,858.988,713.149,906.462,720.034,713.149,1037.581,964.186,916.9768,118.486987
8,556.757,601.848,580.424,566.868,580.739,593.292,567.886,552.737,590.996,543.348,543.348,601.848,574.155,573.4895,19.14233215
9,7757.184,6537.675,8450.712,6448.855,6521.767,6441.497,6456.836,6423.164,8449.358,8347.873,6423.164,8450.712,6529.721,7183.4921,939.5332273
10,647.712,693.785,716.883,730.682,710.314,705.485,708.156,690.949,681.861,646.412,646.412,730.682,699.635,693.2239,27.93947525
11,121.283,123.547,125.003,132.895,132.697,144.609,135.816,109.263,109.169,113.788,109.169,144.609,124.275,124.807,11.84441294
12,1644.606,298.53,309.741,344.916,294.982,346.854,355.325,321.628,286.373,320.806,286.373,1644.606,321.217,452.3761,419.5583286
13,5224.895,5262.105,5029.661,5191.982,5078.696,4962.458,5034.234,5030.077,5102.349,5132.83,4962.458,5262.105,5090.5225,5104.9287,97.0174761
14,195.07,193.951,191.556,189.249,159.56,193.101,203.804,178.244,212.296,182.968,159.56,212.296,192.3285,189.9799,14.35974617
15,372.575,417.893,398.361,386.912,386.192,405.341,366.935,389.989,378.742,402.57,366.935,417.893,388.4505,390.551,15.7220478
16,2322.594,2351.968,2374.517,2357.692,2320.005,2239.303,2312.601,2205.882,2246.533,2291.056,2205.882,2374.517,2316.303,2302.2151,55.86021195
17,1462.31,1387.254,1384.386,1391.13,1434.269,1445.7,1393.327,1386.359,1399.795,1446.081,1384.386,1462.31,1396.561,1413.0611,30.32876877
18,988.998,882.599,928.082,861.852,894.26,945.096,897.491,949.366,1000.306,1022.384,861.852,1022.384,936.589,937.0434,54.05162506
19,1318.531,1221.425,1217.858,1221.673,1207.215,1224.764,1136.849,1162.948,1134.346,1137.073,1134.346,1318.531,1212.5365,1198.2682,57.31368931
20,329.452,356.535,328.356,356.018,371.016,367.944,405.136,380.929,336.781,384.848,328.356,405.136,362.2395,361.7015,25.27563728
21,2388.923,2148.846,2187.227,2083.614,1512.191,1548.791,1929.406,1689.793,1792.475,2259.706,1512.191,2388.923,2006.51,1954.0972,306.8955163
22,545.175,527.786,511.8,527.54,504.599,574.2,534.087,523.744,541.11,532.894,504.599,574.2,530.34,532.2935,19.16701982
SUM,37175.822,29385.832,31312.83,29292.123,29820.102,29708.574,29588.156,28257.493,30779.19,30926.382,27309.611,38526.325,29286.3625,30624.6504,2471.637202
