Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,3553.436,3203.012,3198.406,2993.34,3185.414,2894.526,2992.251,3031.597,2999.937,3362.083,2894.526,3553.436,3108.5055,3141.4002,201.2847749
2,160.797,149.381,165.92,145.985,140.349,142.777,136.463,155.916,150.16,127.526,127.526,165.92,147.683,147.5274,11.51837526
3,636.052,632.771,532.29,554.773,606.052,555.717,667.277,674.136,517.911,554.067,517.911,674.136,580.8845,593.1046,57.15159353
4,563.196,551.966,528.63,519.088,459.027,449.539,469.411,621.078,575.56,585.124,449.539,621.078,540.298,532.2619,57.97126063
5,659.188,636.725,786.369,768.086,728.789,780.606,768.013,777.208,639.214,604.964,604.964,786.369,748.401,714.9162,71.63137005
6,125.845,123.857,121.08,155.854,150.31,129.359,123.497,165.769,123.516,118.991,118.991,165.769,124.851,133.8078,16.85183956
7,717.492,714.507,712.882,985.268,1060.222,994.081,1040.035,1106.463,1099.959,713.324,712.882,1106.463,989.6745,914.4233,176.2293049
8,612.213,586.509,609.892,639.18,479.765,651.642,625.002,476.905,477.679,647.78,476.905,651.642,611.0525,580.6567,73.30957329
9,7491.592,6458.816,6566.77,8041.568,7261.902,8708.865,8353.914,8249.75,6518.981,7466.207,6458.816,8708.865,7478.8995,7511.8365,817.8445651
10,664.996,657.029,646.872,762.863,644.632,656.565,652.214,634.656,638.433,609.12,609.12,762.863,649.543,656.738,40.39437012
11,114.037,113.709,117.89,113.024,131.806,149.201,132.737,129.104,129.341,134.228,113.024,149.201,129.2225,126.5077,11.69821173
12,304.666,293.434,377.197,375.526,306.069,299.073,289.087,287.376,296.575,295.752,287.376,377.197,297.824,312.4755,34.1857403
13,5376.873,5791.508,5714.652,5840.217,5653.38,5248.615,5608.878,5269.856,5426.569,5274.035,5248.615,5840.217,5517.7235,5520.4583,227.490575
14,163.688,178.187,205.925,194.964,191.708,193.36,197.29,184.498,188.54,192.583,163.688,205.925,192.1455,189.0743,11.58529953
15,378.409,388.031,353.967,377.638,385.424,379.579,439.387,436.194,435.108,432.112,353.967,439.387,386.7275,400.5849,31.58704714
16,2448.714,2392.9,2369.125,2383.625,2439.829,2548.526,2401.083,2403.893,2506.536,2368.994,2368.994,2548.526,2402.488,2426.3225,60.26798632
17,1587.88,1598.764,1614.287,1599.587,1465.532,1388.79,1444.521,1398.08,1583.342,1594.491,1388.79,1614.287,1585.611,1527.5274,91.75721863
18,1055.286,1006.417,909.64,901.119,959.993,950.926,920.869,932.954,916.719,1079.893,901.119,1079.893,941.94,963.3816,62.99501256
19,1154.583,1158.622,1155.512,1151.149,1150.127,1211.249,1155.074,1186.127,1260.753,1255.131,1150.127,1260.753,1157.067,1183.8327,43.56558929
20,368.279,347.98,377.55,373.615,369.837,389.351,329.279,377.502,364.488,395.196,329.279,395.196,371.726,369.3077,19.1697341
21,1935.733,1876.613,1838.723,1988.002,1811.274,2059.289,1924.407,1679.502,1866.456,1730.333,1679.502,2059.289,1871.5345,1871.0332,114.1659201
22,678.28,666.185,686.163,532.364,598.365,654.428,551.748,887.247,692.033,724.957,532.364,887.247,672.2325,667.177,99.59245301
SUM,30751.235,29526.923,29589.742,31396.835,30179.806,31436.064,31222.437,31065.811,29407.81,30266.891,27488.025,34053.659,30506.0345,30484.3554,796.4120305
